AccelerationX;AccelerationY;AccelerationZ;GyroscopeX;GyroscopeY;GyroscopeZ;Latitude;Longitude;Velocity;Altitude;Position;Hours;Minutes;Seconds;Date
-0,037370;0,008410;1,006010;-0,309700;-0,062810;0,246270;45,085675;14,156798;0,000000;161,900000;65,000000;10;45;16,217;06/01/2021
-0,038090;0,009200;1,005650;-0,324920;-0,100540;0,199220;45,085673;14,156797;0,000000;161,900000;65,000000;10;45;16,473;06/01/2021
-0,037880;0,009790;1,006360;-0,286820;-0,029630;0,241150;45,085673;14,156795;0,000000;161,900000;65,000000;10;45;16,729;06/01/2021
-0,036990;0,009290;1,005760;-0,335240;-0,083500;0,255530;45,085673;14,156795;1,666800;162,000000;59,400000;10;45;16,985;06/01/2021
-0,036890;0,008980;1,005460;-0,310500;-0,086760;0,220060;45,085673;14,156793;1,852000;162,000000;53,000000;10;45;17,241;06/01/2021
-0,038340;0,009550;1,005680;-0,302590;-0,095650;0,279350;45,085673;14,156793;2,037200;162,000000;50,700000;10;45;17,497;06/01/2021
-0,036710;0,009000;1,004740;-0,308780;-0,063320;0,214020;45,085672;14,156792;1,852000;162,000000;51,700000;10;45;17,753;06/01/2021
-0,038000;0,009730;1,005800;-0,307370;-0,084980;0,243960;45,085672;14,156792;2,037200;162,000000;54,700000;10;45;18,009;06/01/2021
-0,037460;0,008890;1,005210;-0,322710;-0,093770;0,285220;45,085672;14,156792;2,407600;161,900000;53,400000;10;45;18,265;06/01/2021
-0,037230;0,009510;1,005860;-0,315460;-0,082300;0,303580;45,085672;14,156790;2,407600;161,800000;51,500000;10;45;18,521;06/01/2021
-0,037340;0,009210;1,005110;-0,316570;-0,079210;0,269100;45,085672;14,156790;2,407600;161,700000;52,900000;10;45;18,777;06/01/2021
-0,037630;0,008590;1,005510;-0,311680;-0,083510;0,247130;45,085673;14,156792;2,407600;161,600000;53,000000;10;45;19,034;06/01/2021
-0,038580;0,010120;1,006470;-0,281550;-0,038560;0,274020;45,085675;14,156793;2,592800;161,300000;51,600000;10;45;19,290;06/01/2021
-0,036420;0,008650;1,005620;-0,328820;-0,070450;0,220150;45,085675;14,156793;2,592800;161,200000;51,300000;10;45;19,545;06/01/2021
-0,038340;0,009840;1,006330;-0,309420;-0,078180;0,271870;45,085677;14,156795;2,592800;160,900000;53,100000;10;45;19,802;06/01/2021
-0,037420;0,008820;1,005420;-0,314170;-0,074830;0,268410;45,085678;14,156795;2,592800;160,600000;49,900000;10;45;20,057;06/01/2021
